StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q12,Q13,Q4,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q6_10_TEXT,Q8,Q9,Q7,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q11,Q15,Q15_4_TEXT,Q16,Q19
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please select the month,Please select the year,How many times do you typically use your device in a day?,"What do you typically use your device for? - Selected Choice - Audio (music, radio, podcasts, etc)",What do you typically use your device for? - Selected Choice - Information,What do you typically use your device for? - Selected Choice - Controlling other devices,What do you typically use your device for? - Selected Choice - Conversation,What do you typically use your device for? - Selected Choice - Shopping,What do you typically use your device for? - Selected Choice - Alarm,What do you typically use your device for? - Selected Choice - Weather,What do you typically use your device for? - Selected Choice - Time,What do you typically use your device for? - Selected Choice - Reminders,What do you typically use your device for? - Selected Choice - Other,What do you typically use your device for? - Other - Text,I had privacy and security concerns when I first started using my device.,I have privacy and security concerns about using my device now.,What privacy and security concerns do you have about your device?,Click to write the question text - My device's microphone is always turned on by default,Click to write the question text - My device's recordings are stored by the manufacturing company,Click to write the question text - I can access the history of my commands to my device,Click to write the question text - My device offers the option to delete the data it collects,Click to write the question text - My device does not have adjustable privacy settings,What is your age?,Which gender do you identify with? - Selected Choice,Which gender do you identify with? - Prefer to self describe - Text,Do you work or have a degree in an information technology or computer science related field?,What is the highest level of school you have completed or the highest degree you have received?
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID4""}","{""ImportId"":""QID6"",""choiceId"":""1""}","{""ImportId"":""QID6"",""choiceId"":""2""}","{""ImportId"":""QID6"",""choiceId"":""3""}","{""ImportId"":""QID6"",""choiceId"":""4""}","{""ImportId"":""QID6"",""choiceId"":""5""}","{""ImportId"":""QID6"",""choiceId"":""6""}","{""ImportId"":""QID6"",""choiceId"":""7""}","{""ImportId"":""QID6"",""choiceId"":""8""}","{""ImportId"":""QID6"",""choiceId"":""9""}","{""ImportId"":""QID6"",""choiceId"":""10""}","{""ImportId"":""QID6_10_TEXT""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID1_3""}","{""ImportId"":""QID1_4""}","{""ImportId"":""QID1_5""}","{""ImportId"":""QID11""}","{""ImportId"":""QID15""}","{""ImportId"":""QID15_4_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID18""}"
2019-10-18 17:57:36,2019-10-18 17:59:33,IP Address,35.138.111.31,100,116,True,2019-10-18 17:59:33,R_eJP8CTwGUhttvtn,,,,,28.0381011962890625,-81.93920135498046875,anonymous,EN,3,2018,1-10,"Audio (music, radio, podcasts, etc)",,,,,,Weather,,,,,Somewhat disagree,Somewhat disagree,none,Probably correct,I don't know,I don't know,Probably correct,Probably incorrect,45 - 54,Male,,No,Associate degree in college (2-year)
2019-10-18 17:59:28,2019-10-18 18:01:44,IP Address,69.151.220.81,100,136,True,2019-10-18 18:01:44,R_1JPV4nzrOTTDUoC,,,,,35.46429443359375,-82.533599853515625,anonymous,EN,6,2018,1-10,"Audio (music, radio, podcasts, etc)",,,,,,Weather,,,,,Strongly agree,Strongly agree,"I always feel like there's something or someone listening in on whatever I am doing with the device, which is why I limit myself from doing many other things with it. I tend to only do things that don't/can't share any data about myself.",Probably correct,Probably correct,I don't know,I don't know,I don't know,25 - 34,Male,,No,Some college but no degree
2019-10-18 18:00:57,2019-10-18 18:02:58,IP Address,108.30.47.212,100,120,True,2019-10-18 18:02:58,R_8B3sLA11MsG85J7,,,,,40.6703948974609375,-73.69809722900390625,anonymous,EN,12,2018,11-20,"Audio (music, radio, podcasts, etc)",Information,,,,Alarm,Weather,Time,,,,Somewhat agree,Somewhat disagree,"concerned it may be recorded without my knowledge ",I don't know,Definitely correct,Definitely correct,I don't know,Probably incorrect,25 - 34,Male,,No,High school graduate (high school diploma or equivalent including GED)
2019-10-18 18:02:14,2019-10-18 18:05:12,IP Address,104.200.35.70,100,178,True,2019-10-18 18:05:12,R_2WYKn4w3VowaSPW,,,,,35.6699066162109375,-97.46469879150390625,anonymous,EN,9,2017,11-20,"Audio (music, radio, podcasts, etc)",Information,Controlling other devices,,,Alarm,Weather,,Reminders,,,Strongly agree,Somewhat agree,About my schedules i have kept high privacy on that,Probably incorrect,Probably incorrect,Definitely incorrect,Definitely incorrect,Probably incorrect,35 - 44,Female,,Yes,Bachelor's degree in college (4-year)
2019-10-18 18:04:24,2019-10-18 18:05:52,IP Address,76.30.105.32,100,87,True,2019-10-18 18:05:52,R_1jAJLMnCZIEYtUd,,,,,29.8737945556640625,-95.5233001708984375,anonymous,EN,4,2018,1-10,"Audio (music, radio, podcasts, etc)",Information,Controlling other devices,Conversation,,Alarm,Weather,Time,,,,Somewhat agree,Strongly agree,I worry that my information will be leaked into the wrong hands,Probably incorrect,I don't know,Probably correct,Probably correct,Probably incorrect,25 - 34,Female,,No,Some college but no degree
2019-10-18 18:06:12,2019-10-18 18:08:08,IP Address,47.204.36.108,100,115,True,2019-10-18 18:08:08,R_5gA1x2sILN9hQVr,,,,,28.0946044921875,-81.49900054931640625,anonymous,EN,10,2019,21+,"Audio (music, radio, podcasts, etc)",Information,,,Shopping,Alarm,Weather,Time,Reminders,,,Strongly disagree,Strongly disagree,"I do not have any privacy or security concerns with my Echo Alexa device at all. ",Probably incorrect,Probably correct,Definitely correct,Definitely correct,Definitely incorrect,45 - 54,Male,,Yes,Bachelor's degree in college (4-year)
2019-10-18 18:08:23,2019-10-18 18:09:29,IP Address,75.65.38.225,100,66,True,2019-10-18 18:09:29,R_1j6pZhjMQQ5VPSd,,,,,35.27520751953125,-89.72949981689453125,anonymous,EN,4,2018,1-10,,Information,Controlling other devices,,Shopping,,Weather,Time,,,,Somewhat agree,Somewhat agree,"Hackers controlling things or stealing data. ",Probably incorrect,Probably correct,I don't know,Probably incorrect,Probably incorrect,25 - 34,Male,,No,Bachelor's degree in college (4-year)
2019-10-18 18:15:12,2019-10-18 18:16:34,IP Address,96.232.36.173,100,82,True,2019-10-18 18:16:34,R_1Nz7Ge02I1SpkHS,,,,,40.6208038330078125,-74.0426025390625,anonymous,EN,1,2018,1-10,"Audio (music, radio, podcasts, etc)",,,,,,Weather,,,,,Somewhat agree,Somewhat agree,I am afraid that my data is being used to profit the company more than the device is helping me,Probably correct,Probably correct,Probably correct,Probably correct,Probably incorrect,25 - 34,Female,,,Bachelor's degree in college (4-year)
